Opening Type,Result,White Elo,Black Elo,Move List,Variation
Danish Gambit,0-1,1949,1916,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'c7c5', 'g1f3', 'b8c6', 'f1c4', 'd7d6', 'e1g1', 'g8f6', 'd1b3', 'd8c7', 'f3g5', 'c6a5', 'c4f7', 'e8e7', 'b3d1', 'h7h6', 'b2b4', 'h6g5', 'b4a5', 'e7f7', 'f1e1', 'c8g4', 'f2f3', 'g4e6', 'c3d4', 'c5d4', 'd1d4', 'a8d8', 'b1c3', 'f8e7', 'c1a3', 'c7b8', 'a1d1', 'd8d7', 'd4e3', 'f6h5', 'g2g4', 'h5f4', 'e4e5', 'd6d5', 'a3c1', 'd5d4', 'd1d4', 'h8d8', 'd4d7', 'd8d7', 'c3e4', 'b8e5', 'e3a7', 'e5d4', 'a7d4', 'd7d4', 'c1b2', 'd4a4', 'a2a3', 'f4d3']",['Others B1']
Danish Gambit,0-1,1431,1474,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd8e7', 'b1c3', 'd7d6', 'g1f3', 'g8f6', 'e1g1', 'c8g4', 'a2a4', 'b8c6', 'c1d2', 'e8c8', 'c4e2', 'g4f3', 'e2f3', 'c6d4', 'd2e3', 'd4f3', 'd1f3', 'c8b8', 'c3d5', 'f6d5', 'e4d5', 'f7f6', 'b2b4', 'g7g5', 'b4b5', 'h7h5', 'a4a5', 'g5g4', 'f3d1', 'c7c5', 'a5a6', 'b7b6', 'd1d3', 'f8h6', 'a1e1', 'h8e8', 'e3h6', 'e7e1', 'h2h3', 'e1e4', 'd3d1', 'g4h3', 'g2h3', 'e4g6', 'g1h2', 'g6h6', 'f1g1', 'h6f4', 'h2h1', 'e8g8', 'g1g8', 'd8g8', 'd1f1', 'f4f3', 'h1h2', 'h5h4', 'f1h1', 'f3f4']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,0-1,1368,1548,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'f8e7', 'g1f3', 'g8f6', 'e4e5', 'c3b2', 'c1b2', 'f6g4', 'b1c3', 'e8g8', 'e1g1', 'd7d6', 'e5e6', 'c8e6', 'c4e6', 'f7e6', 'f3d4', 'e6e5', 'd4e6', 'd8d7', 'd1b3', 'f8f6', 'e6c5', 'd7e6', 'c5e6', 'b8c6', 'e6c7', 'g8h8', 'c7a8', 'c6d4', 'b3b7', 'f6f8', 'f2f3', 'g4e3', 'f1e1', 'e3c2', 'c3d5', 'c2e1', 'a1e1', 'e7g5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,0-1,1449,1447,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'b8c6', 'd1f3', 'g8f6', 'g1h3', 'c6e5', 'f3c3', 'e5c4', 'c3c4', 'd7d6', 'h3g5', 'c8e6', 'g5e6', 'f7e6', 'c4e6', 'f8e7', 'e4e5', 'd6e5', 'e6e5', 'e8g8', 'c1f4', 'e7b4', 'b1c3', 'b4c3', 'b2c3', 'f8e8', 'a1d1', 'e8e5', 'f4e5', 'd8e8', 'f2f4', 'f6d7', 'e1f2', 'd7e5', 'h1e1', 'e5g4', 'f2g3', 'e8c6', 'g3g4', 'c6g6', 'g4f3', 'a8e8', 'e1e8', 'g6e8', 'g2g4', 'e8c6', 'f3g3', 'c6c3', 'g3h4', 'c3f6', 'g4g5', 'f6f4', 'h4h5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1-0,1778,1737,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'b1c3', 'b8c6', 'f1c4', 'f8c5', 'c4f7', 'e8f7', 'd1h5', 'g7g6', 'h5c5', 'd7d6', 'c5c4', 'c8e6', 'c4e2', 'd8f6', 'g1f3', 'g8e7', 'c1g5', 'f6g7', 'e1g1', 'h8f8', 'f1e1', 'f7g8', 'e4e5', 'e6g4', 'e2c4', 'g8h8', 'c4g4', 'f8f5', 'e5d6', 'c7d6', 'g4h4', 'e7d5', 'c3d5']","['Danish Gambit Accepted', 'Take Back Gambit']"
Danish Gambit,1-0,1426,1390,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'b8c6', 'c3d4', 'd7d5', 'e4e5', 'f7f6', 'e5f6', 'g8f6', 'f1e2', 'f8d6', 'e2h5', 'g7g6', 'd1e2', 'c6e7', 'c1g5', 'e8g8', 'h5f3', 'f6g4', 'f3g4', 'c8g4', 'e2g4', 'f8f5', 'g1f3', 'c7c5', 'e1g1', 'c5d4', 'f3d4', 'f5g5', 'g4g5', 'a8c8', 'd4e6', 'd8e8', 'g5f6', 'e8f7', 'f6f7', 'g8f7', 'e6g5', 'f7g7', 'b1c3', 'e7f5', 'g5e6', 'g7f6', 'e6d4', 'f5d4', 'a1d1', 'd4e2', 'c3e2', 'd6h2', 'g1h2']",['Others B1']
Danish Gambit Accepted,1-0,2091,2062,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'd7d6', 'd1b3', 'd8d7', 'g1f3', 'b8c6', 'b2c3', 'g8f6', 'e1g1', 'f8e7', 'e4e5', 'd6e5', 'f3e5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,1-0,1365,1473,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3c2', 'd1c2', 'f8b4', 'b1d2', 'b8c6', 'a2a3', 'b4a5', 'b2b4', 'a5b6', 'c1b2', 'g8f6', 'e4e5', 'd8e7', 'g1e2', 'c6e5', 'e1g1', 'e5c4', 'c2c4', 'd7d5', 'b2f6', 'e7f6', 'c4d5', 'c7c6', 'd5e4', 'c8e6', 'e2f4', 'e8g8', 'f4e6', 'f7e6', 'd2f3', 'a8d8', 'f1d1', 'd8d1', 'a1d1', 'h7h6', 'h2h3', 'f6b2', 'a3a4', 'b2f2', 'g1h1', 'f8f6', 'a4a5', 'b6c7', 'd1d2', 'f2f1', 'f3g1']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1-0,1738,1807,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c7c6', 'g1f3', 'g8f6', 'e1g1', 'd7d6', 'e4e5', 'f6g4', 'e5d6', 'f8d6', 'f1e1', 'd6e7', 'b1c3', 'd8d1', 'c3d1', 'b7b5', 'c4b3', 'a7a5', 'a2a4', 'b5b4', 'c1g5', 'f7f6', 'g5h4', 'b8d7', 'h2h3', 'g4e5', 'f3d4', 'c6c5', 'd4b5', 'a8b8', 'f2f4', 'e5d3', 'e1e3', 'd3f4', 'h4g3', 'f4g6', 'g3b8', 'd7b8', 'd1f2', 'g6e5', 'b5c7', 'e8d7', 'c7d5', 'c5c4', 'b3c2', 'b4b3', 'c2f5', 'd7d6', 'f5e4', 'c8e6', 'd5f4', 'e6c8', 'a1d1', 'd6c5', 'f4d5', 'e7d8', 'e3c3', 'c8e6', 'd5f4', 'e6c8', 'd1d5', 'c5b6', 'd5b5', 'b6a6', 'f4d5', 'c8d7', 'b5b8']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
"Danish Gambit Accepted, Classical Defense",0-1,1268,1259,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'g8f6', 'e4e5', 'f6e4', 'g1f3', 'b8c6', 'e1g1', 'd7d6', 'f1e1', 'd6d5', 'c4d5', 'e4c5', 'f3g5', 'd8g5', 'd5c6', 'b7c6', 'd1a4', 'c5a4']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
